Date,Site,P ,T,CO2_atm,CH4_atm,N2O_atm,CO2_hs,CH4_hs,N2O_hs,Ws,Khco2,Khch4,Khn2o,V_w,V_hs,FCO2,FCH4,FN2O
2016-04-25,1,0.9940,10.14,403.65,2.48,0.37,3907.09,420.22,0.54,0.9,0.053405,0.001931,0.039962,0.03,0.03,1.55,6.63,0.06
2016-04-25,2,0.9940,10.14,402.00,2.45,0.36,4286.25,1077.56,0.37,0.9,0.053405,0.001931,0.039962,0.03,0.03,1.72,17.07,0.00
2016-04-25,3,0.9940,10.14,408.80,2.51,0.37,14102.12,754.97,0.18,0.9,0.053405,0.001931,0.039962,0.03,0.03,6.05,11.94,-0.06
2016-04-25,4,0.9940,10.14,404.07,2.49,0.37,13617.51,1277.82,0.21,0.9,0.053405,0.001931,0.039962,0.03,0.03,5.84,20.24,-0.05
2016-04-25,5,0.9940,10.14,402.25,2.49,0.37,13440.21,9248.31,0.25,0.9,0.053405,0.001931,0.039962,0.03,0.03,5.76,146.76,-0.04
2016-05-03,1,0.9872,16.89,400.69,2.65,0.36,2217.78,1801.84,0.31,0.63,0.042921,0.001650,0.031722,0.03,0.03,0.70,26.09,-0.01
2016-05-03,2,0.9872,16.89,395.35,2.52,0.36,17610.31,538.21,0.20,0.63,0.042921,0.001650,0.031722,0.03,0.03,6.59,7.77,-0.05
2016-05-03,3,0.9872,16.89,399.28,2.42,0.36,17554.10,1797.50,0.18,0.63,0.042921,0.001650,0.031722,0.03,0.03,6.56,26.03,-0.05
2016-05-03,4,0.9872,16.89,401.18,2.54,0.37,15411.62,9495.74,0.01,0.63,0.042921,0.001650,0.031722,0.03,0.03,5.74,137.67,-0.10
2016-05-03,5,0.9872,16.89,403.85,2.52,0.37,72149.37,23628.17,0.08,0.63,0.042921,0.001650,0.031722,0.03,0.03,27.45,342.61,-0.08
2016-05-10,1,0.9895,14.95,438.11,2.68,0.37,2034.41,526.27,0.36,0.34,0.045598,0.001722,0.033815,0.03,0.03,0.48,5.92,0.00
2016-05-10,2,0.9895,14.95,430.18,2.84,0.37,14200.50,580.34,0.18,0.34,0.045598,0.001722,0.033815,0.03,0.03,4.17,6.53,-0.04
2016-05-10,3,0.9895,14.95,425.88,2.57,0.36,19850.96,1302.88,0.17,0.34,0.045598,0.001722,0.033815,0.03,0.03,5.88,14.69,-0.04
2016-05-10,4,0.9895,14.95,417.86,2.56,0.37,16416.15,853.37,0.08,0.34,0.045598,0.001722,0.033815,0.03,0.03,4.85,9.61,-0.06
2016-05-10,5,0.9895,14.95,426.79,2.52,0.36,6492.26,69.12,0.37,0.34,0.045598,0.001722,0.033815,0.03,0.03,1.84,0.75,0.00
2016-05-18,1,0.9897,14.77,413.06,2.60,0.37,3192.81,855.14,0.38,0.95,0.045859,0.001729,0.034020,0.03,0.03,1.29,14.74,0.00
2016-05-18,2,0.9897,14.77,405.04,2.44,0.37,4375.07,1052.76,0.48,0.95,0.045859,0.001729,0.034020,0.03,0.03,1.84,18.16,0.04
2016-05-18,3,0.9897,14.77,402.25,2.47,0.37,16329.18,1232.81,0.16,0.95,0.045859,0.001729,0.034020,0.03,0.03,7.39,21.27,-0.07
2016-05-18,4,0.9897,14.77,404.17,2.51,0.37,16562.01,21377.81,0.53,0.95,0.045859,0.001729,0.034020,0.03,0.03,7.50,369.59,0.06
2016-05-18,5,0.9897,14.77,412.01,2.70,0.38,11047.27,2197.88,1.11,0.95,0.045859,0.001729,0.034020,0.03,0.03,4.94,37.96,0.25
2016-05-26,1,0.9923,12.08,485.05,6.35,0.37,1284.04,363.79,0.48,1.26,0.050037,0.001841,0.037303,0.03,0.03,0.43,7.04,0.05
2016-05-26,2,0.9923,12.08,426.79,2.70,0.36,1972.78,619.75,0.58,1.26,0.050037,0.001841,0.037303,0.03,0.03,0.83,12.15,0.08
2016-05-26,3,0.9923,12.08,407.60,5.48,0.36,5137.16,3.81,0.86,1.26,0.050037,0.001841,0.037303,0.03,0.03,2.55,-0.03,0.19
2016-05-26,4,0.9923,12.08,525.85,4.34,0.36,7244.55,549.82,0.76,1.26,0.050037,0.001841,0.037303,0.03,0.03,3.63,10.74,0.15
2016-05-26,5,0.9923,12.08,407.83,3.15,0.37,9905.75,123.18,0.71,1.26,0.050037,0.001841,0.037303,0.03,0.03,5.13,2.36,0.13
2016-06-03,1,0.9856,18.18,391.54,2.50,0.36,1537.93,1292.14,0.36,0.93,0.041269,0.001605,0.030435,0.03,0.03,0.53,22.97,0.00
2016-06-03,2,0.9856,18.18,394.46,2.66,0.37,2896.28,1274.71,0.37,0.93,0.041269,0.001605,0.030435,0.03,0.03,1.16,22.66,0.00
2016-06-03,3,0.9856,18.18,389.84,2.61,0.36,9362.12,115.98,0.25,0.93,0.041269,0.001605,0.030435,0.03,0.03,4.17,2.02,-0.04
2016-06-03,4,0.9856,18.18,390.12,2.56,0.36,10535.85,1837.58,0.62,0.93,0.041269,0.001605,0.030435,0.03,0.03,4.72,32.68,0.09
2016-06-03,5,0.9856,18.18,402.30,2.70,0.36,14538.55,395.85,0.43,0.93,0.041269,0.001605,0.030435,0.03,0.03,6.57,7.00,0.02
2016-06-10,1,0.9909,13.62,393.61,2.27,0.33,1931.09,624.66,0.39,0.73,0.047580,0.001775,0.035369,0.03,0.03,0.62,9.28,0.02
2016-06-10,2,0.9909,13.62,385.88,2.36,0.33,3604.43,677.11,0.43,0.73,0.047580,0.001775,0.035369,0.03,0.03,1.30,10.06,0.03
2016-06-10,3,0.9909,13.62,390.43,2.53,0.36,5300.75,88.81,0.49,0.73,0.047580,0.001775,0.035369,0.03,0.03,1.98,1.29,0.04
2016-06-10,4,0.9909,13.62,390.12,2.47,0.35,14664.89,1099.81,0.18,0.73,0.047580,0.001775,0.035369,0.03,0.03,5.77,16.36,-0.05
2016-06-10,5,0.9909,13.62,389.42,2.52,0.36,24753.00,216.50,0.19,0.73,0.047580,0.001775,0.035369,0.03,0.03,9.84,3.19,-0.05
2016-06-15,1,0.9929,11.44,386.38,2.08,0.37,897.70,232.07,0.37,0.75,0.051113,0.001870,0.038151,0.03,0.03,0.21,3.38,0.00
2016-06-15,2,0.9929,11.44,387.95,2.18,0.36,1927.36,1241.38,0.42,0.75,0.051113,0.001870,0.038151,0.03,0.03,0.62,18.23,0.02
2016-06-15,3,0.9929,11.44,383.39,2.10,0.35,8306.90,298.40,0.35,0.75,0.051113,0.001870,0.038151,0.03,0.03,3.21,4.36,0.00
2016-06-15,4,0.9929,11.44,385.46,2.14,0.35,10071.06,749.05,0.76,0.75,0.051113,0.001870,0.038151,0.03,0.03,3.93,10.99,0.12
2016-06-15,5,0.9929,11.44,388.23,2.28,0.36,11367.73,223.20,0.50,0.75,0.051113,0.001870,0.038151,0.03,0.03,4.45,3.25,0.04
2016-06-23,1,0.9898,14.67,402.33,2.14,0.36,701.80,138.40,0.37,0.78,0.046005,0.001733,0.034134,0.03,0.03,0.13,2.13,0.00
2016-06-23,2,0.9898,14.67,392.09,2.18,0.36,1183.46,241.67,0.39,0.78,0.046005,0.001733,0.034134,0.03,0.03,0.33,3.73,0.01
2016-06-23,3,0.9898,14.67,397.32,2.24,0.37,3281.96,189.63,0.44,0.78,0.046005,0.001733,0.034134,0.03,0.03,1.21,2.92,0.02
2016-06-23,4,0.9898,14.67,393.94,2.50,0.36,9193.98,616.62,0.50,0.78,0.046005,0.001733,0.034134,0.03,0.03,3.69,9.58,0.04
2016-06-23,5,0.9898,14.67,419.76,2.35,0.36,9884.41,390.39,0.67,0.78,0.046005,0.001733,0.034134,0.03,0.03,3.97,6.05,0.09
2016-06-30,1,0.9877,16.53,462.84,2.09,0.38,1854.24,1643.61,0.40,0.62,0.043399,0.001663,0.032096,0.03,0.03,0.53,23.54,0.01
2016-06-30,2,0.9877,16.53,374.76,2.19,0.37,4130.00,276.45,0.52,0.62,0.043399,0.001663,0.032096,0.03,0.03,1.42,3.93,0.04
2016-06-30,3,0.9877,16.53,384.44,2.19,0.37,21419.03,1070.70,0.21,0.62,0.043399,0.001663,0.032096,0.03,0.03,7.98,15.32,-0.04
2016-06-30,4,0.9877,16.53,390.30,2.46,0.37,35015.47,206664.36,0.25,0.62,0.043399,0.001663,0.032096,0.03,0.03,13.14,2963.15,-0.03
2016-06-30,5,0.9877,16.53,390.40,3.41,0.37,20820.42,1510.44,0.26,0.62,0.043399,0.001663,0.032096,0.03,0.03,7.75,21.61,-0.03
2016-07-07,1,0.9887,15.68,459.82,2.43,0.37,3655.72,6065.01,0.34,0.88,0.044562,0.001694,0.033004,0.03,0.03,1.43,101.75,-0.01
2016-07-07,2,0.9887,15.68,413.48,2.28,0.37,5563.04,1023.79,0.59,0.88,0.044562,0.001694,0.033004,0.03,0.03,2.30,17.15,0.07
2016-07-07,3,0.9887,15.68,442.89,2.61,0.39,20317.65,6889.97,0.09,0.88,0.044562,0.001694,0.033004,0.03,0.03,8.89,115.60,-0.09
2016-07-07,4,0.9887,15.68,419.78,2.26,0.38,18604.63,28159.87,0.73,0.88,0.044562,0.001694,0.033004,0.03,0.03,8.13,472.60,0.11
2016-07-07,5,0.9887,15.68,418.47,10.40,0.37,16750.40,1441.67,0.25,0.88,0.044562,0.001694,0.033004,0.03,0.03,7.30,24.02,-0.04
2016-07-14,1,0.9879,16.34,435.69,2.87,0.36,2614.27,1345.02,0.40,0.27,0.043655,0.001670,0.032295,0.03,0.03,0.62,14.48,0.01
2016-07-14,2,0.9879,16.34,737.14,1.97,0.36,3611.95,748.58,1.31,0.27,0.043655,0.001670,0.032295,0.03,0.03,0.82,8.05,0.20
2016-07-14,3,0.9879,16.34,433.32,2.27,0.36,16049.81,2138.50,0.14,0.27,0.043655,0.001670,0.032295,0.03,0.03,4.47,23.05,-0.04
2016-07-14,4,0.9879,16.34,479.03,2.80,0.35,22899.55,823.64,1.30,0.27,0.043655,0.001670,0.032295,0.03,0.03,6.41,8.86,0.19
2016-07-14,5,0.9879,16.34,713.82,2.61,0.36,17732.54,1802.29,0.50,0.27,0.043655,0.001670,0.032295,0.03,0.03,4.87,19.42,0.03
2016-07-20,1,0.9839,19.43,439.64,3.09,0.36,4482.02,2767.32,0.47,0.51,0.039759,0.001564,0.029261,0.03,0.03,1.43,37.88,0.03
2016-07-20,2,0.9839,19.43,649.82,2.11,0.36,6480.05,853.03,0.52,0.51,0.039759,0.001564,0.029261,0.03,0.03,2.06,11.66,0.04
2016-07-20,3,0.9839,19.43,690.71,3.02,0.36,28124.82,12641.02,0.06,0.51,0.039759,0.001564,0.029261,0.03,0.03,9.72,173.17,-0.07
2016-07-20,4,0.9839,19.43,424.27,2.17,0.36,15665.64,1085.50,0.99,0.51,0.039759,0.001564,0.029261,0.03,0.03,5.40,14.84,0.16
2016-07-20,5,0.9839,19.43,417.44,2.01,0.37,17803.66,2066.89,3.43,0.51,0.039759,0.001564,0.029261,0.03,0.03,6.16,28.29,0.78
2016-07-27,1,0.9836,19.68,420.36,2.11,0.36,11966.82,17617.93,0.08,0.71,0.039467,0.001556,0.029034,0.03,0.03,4.72,278.98,-0.08
2016-07-27,2,0.9836,19.68,411.86,2.17,0.36,7170.84,734.42,0.75,0.71,0.039467,0.001556,0.029034,0.03,0.03,2.76,11.60,0.11
2016-07-27,3,0.9836,19.68,410.40,2.05,0.37,29331.70,40671.35,0.05,0.71,0.039467,0.001556,0.029034,0.03,0.03,11.81,644.08,-0.09
