Date,Site,NO3_mg L-1,DOC_mg L-1
2016-04-25,1,0.414,5.656
2016-05-03,1,0.337,5.201
2016-05-10,1,0.466,5.573
2016-05-18,1,0.479,5.131
2016-05-26,1,0.558,4.835
2016-06-03,1,0.139,2.826
2016-06-10,1,0.386,5.703
2016-06-15,1,0.083,2.2
2016-06-23,1,0.096,2.528
2016-06-30,1,0.291,5.438
2016-07-07,1,0.398,5.212
2016-07-14,1,0.321,2.713
2016-07-21,1,0.471,5.361
2016-07-27,1,0.811,6.011
2016-08-03,1,0.653,8.741
2016-08-11,1,1.004,12.81
2016-08-17,1,1.03,15.386
2016-09-01,1,1.767,8.841
2016-09-07,1,0.849,5.899
2016-09-21,1,2.643,35.71
2016-10-24,1,0.057,2.419
2016-11-17,1,0.104,1.641
2016-12-07,1,0.168,0.908
2017-01-20,1,0.091,1.85
2017-02-16,1,0.045,2.022
2017-02-28,1,1.24,3.668
2017-04-04,1,0.609,4.662
2016-04-25,2,0.615,7.471
2016-05-03,2,1.462,13.598
2016-05-10,2,2.187,17.479
2016-05-18,2,0.569,6.619
2016-05-26,2,0.58,5.422
2016-06-03,2,0.234,3.341
2016-06-10,2,0.366,5.158
2016-06-15,2,0.075,2.214
2016-06-23,2,0.142,2.798
2016-06-30,2,0.297,4.533
2016-07-07,2,0.416,5.623
2016-07-14,2,0.205,2.323
2016-07-21,2,0.311,3.811
2016-07-27,2,0.561,5.511
2016-08-03,2,0.631,6.662
2016-08-11,2,0.588,6.581
2016-08-17,2,0.581,7.111
2016-09-01,2,0.696,10.319
2016-09-07,2,0.73,8.05
2016-09-21,2,2.07,35.29
2016-10-24,2,0.03,2.234
2016-11-17,2,0.081,1.751
2016-12-07,2,0.089,0.9
2017-01-20,2,0.052,2.06
2017-02-16,2,0,1.055
2017-02-28,2,0.239,2.334
2017-04-04,2,0.427,3.985
2016-04-25,3,0.367,5.3
2016-05-03,3,0.424,5.616
2016-05-10,3,0.514,6.472
2016-05-18,3,0.786,8.539
2016-05-26,3,1.124,9.194
2016-06-03,3,0.645,6.843
2016-06-10,3,0.393,5.661
2016-06-15,3,0.138,3.288
2016-06-23,3,0.271,3.891
2016-06-30,3,0.234,4.318
2016-07-07,3,1.535,10.224
2016-07-14,3,0.406,3.781
2016-07-21,3,0.613,5.68
2016-07-27,3,0.992,7.516
2016-08-03,3,0.837,8.718
2016-08-11,3,0.999,8.889
2016-08-17,3,2.13,54.583
2016-09-01,3,1.197,32.467
2016-09-07,3,2.14,39.447
2016-09-21,3,1.303,10.78
2016-10-24,3,0.25,3.754
2016-11-17,3,0.172,3.131
2016-12-07,3,0.634,1.691
2017-01-20,3,0.552,13.615
2017-02-16,3,0,1.177
2017-02-28,3,0.338,2.385
2017-04-04,3,0.321,2.889
2016-04-25,4,0.562,11.137
2016-05-03,4,0.647,11.997
2016-05-10,4,0.67,12.518
2016-05-18,4,1.374,28.371
2016-05-26,4,2.797,44.268
2016-06-03,4,1.513,35.72
2016-06-10,4,1.567,38.532
2016-06-15,4,1.858,38.952
2016-06-23,4,1.343,32.958
2016-06-30,4,1.342,35.44
2016-07-07,4,3.692,49.678
2016-07-14,4,1.482,33.282
2016-07-21,4,1.688,32.295
2016-07-27,4,1.533,27.9
2016-08-03,4,1.428,30.775
2016-08-11,4,1.045,31.982
2016-08-17,4,1.207,30.057
2016-09-01,4,1.255,33.737
2016-09-07,4,1.273,31.39
2016-09-21,4,2.103,60.363
2016-10-24,4,1.033,20.983
2016-11-17,4,1.071,22.731
2016-12-07,4,0.856,15.496
2017-01-20,4,0.075,1.918
2017-02-16,4,1.11,13.731
2017-02-28,4,0.871,14.218
2017-04-04,4,0.766,12.205
2016-04-25,5,1.805,27.6
2016-05-03,5,1.142,18.365
2016-05-10,5,1.101,12.741
2016-05-18,5,1.423,25.277
2016-05-26,5,1.555,36.075
2016-06-03,5,1.428,35.368
2016-06-10,5,1.39,35.322
2016-06-15,5,1.072,32.495
2016-06-23,5,1.012,30.263
2016-06-30,5,1.443,33.284
2016-07-07,5,1.022,30.372
2016-07-14,5,1.428,34.357
2016-07-21,5,1.053,29.613
2016-07-27,5,0.947,26.202
2016-08-03,5,0.575,25.193
2016-08-11,5,0.785,27.452
2016-08-17,5,0.742,26.543
2016-09-01,5,0.795,26.54
2016-09-07,5,0.337,7.466
2016-09-21,5,1.537,54.327
2016-10-24,5,0.991,19.341
2016-11-17,5,1.022,20.179
2016-12-07,5,0.863,13.168
2017-01-20,5,0.548,9.527
2017-02-16,5,0.574,10.172
2017-02-28,5,0.624,12.275
2017-04-04,5,0.788,14.334
