LocationCode,Region,Season,DOC_mg_L,SR,HIX,FI,C1_pct,C2_pct,C3_pct,Pasture_pct,Crop_pct,Forest_pct,Urban_pct,Water_pct
1,Cerrado,Dry Season,2.2423,1.083333333,4.106666667,1.47,43.51860635,29.70583095,26.7755627,54.95850959,6.152144697,36.45334771,2.356989371,0.079008633
1,Cerrado,Wet Season,3.134434133,1.16,3.773333333,1.5,50.3718998,33.86411688,15.76398332,54.95850959,6.152144697,36.45334771,2.356989371,0.079008633
2,Cerrado,Dry Season,0.709482667,1.13,4.016666667,1.5,42.30981509,28.48252883,29.20765608,55.21720829,5.956901625,36.19654592,2.54368686,0.085657305
2,Cerrado,Wet Season,2.482125633,1.113333333,3.31,1.503333333,49.63630591,33.44288084,16.92081325,55.21720829,5.956901625,36.19654592,2.54368686,0.085657305
3,Cerrado,Wet Season,1.8780406,1.083333333,3.776666667,1.51,49.27799193,32.30576392,18.41624415,54.17337106,6.56054301,36.71098041,2.445911705,0.109193808
3,Cerrado,Dry Season,0.743928,1.323333333,2.786666667,1.566666667,43.6313406,25.64859667,30.72006273,54.17337106,6.56054301,36.71098041,2.445911705,0.109193808
4,Cerrado,Wet Season,2.887719433,1.01,2.93,1.496666667,49.1808161,31.67947457,19.13970934,53.4864397,8.411928296,35.37254233,2.565227814,0.163861857
4,Cerrado,Dry Season,0.709482667,1.6,2.71,1.613333333,45.51394357,28.87419072,25.6118657,53.4864397,8.411928296,35.37254233,2.565227814,0.163861857
5,Cerrado,Dry Season,0.735316667,1.683333333,3.646666667,1.59,45.10925928,26.37174722,28.5189935,48.423725,10.80337744,35.74867521,1.168590447,3.855631893
5,Cerrado,Wet Season,2.3223854,0.863333333,6.066666667,1.466666667,38.60340181,26.42266479,34.97393341,48.423725,10.80337744,35.74867521,1.168590447,3.855631893
6,Cerrado,Dry Season,0.791290333,1.803333333,3.633333333,1.62,30.93438174,18.60364565,50.46197261,50.20961154,9.391020888,36.27166303,1.672825126,2.454879417
6,Cerrado,Wet Season,2.643588133,1.06,5.586666667,1.47,50.58712022,31.84933878,17.56354101,50.20961154,9.391020888,36.27166303,1.672825126,2.454879417
7,Cerrado,Wet Season,2.2306747,0.956666667,6.046666667,1.496666667,52.31964514,32.4795084,15.20084646,48.13637284,9.905998688,37.21278049,1.346159271,3.398688709
7,Cerrado,Dry Season,0.799901667,1.733333333,3.7,1.556666667,41.67073274,23.72569341,34.60357385,48.13637284,9.905998688,37.21278049,1.346159271,3.398688709
8,Cerrado,Wet Season,2.8054812,1.033333333,4.993333333,1.476666667,49.94579096,32.90299865,17.15121039,55.25006647,8.161225708,33.95524496,2.467260179,0.166202675
8,Cerrado,Dry Season,0.782679,1.686666667,3.64,1.566666667,44.49184287,27.44615238,28.06200476,55.25006647,8.161225708,33.95524496,2.467260179,0.166202675
9,Cerrado,Dry Season,0.959211333,1.436666667,2.513333333,1.53,42.69325749,24.17119748,33.13554503,62.27730442,7.242447715,27.67234702,1.491092177,1.316808675
9,Cerrado,Wet Season,3.208061033,1.07,8.22,1.526666667,48.66620802,27.46453012,23.86926187,62.27730442,7.242447715,27.67234702,1.491092177,1.316808675
10,Cerrado,Dry Season,0.959211333,1.476666667,2.26,1.57,44.94429926,25.66756687,29.38813387,50.75296486,9.136246661,36.07016124,1.675621761,2.365005472
10,Cerrado,Wet Season,2.5510163,1.003333333,4.336666667,1.48,44.17558436,26.1624057,29.66200994,50.75296486,9.136246661,36.07016124,1.675621761,2.365005472
11,Cerrado,Wet Season,2.4218463,1.003333333,6.29,1.486666667,45.51271665,28.53948488,25.94779847,50.68797542,9.071606387,36.22117592,1.670261322,2.348980947
11,Cerrado,Dry Season,0.929071667,1.64,2.75,1.586666667,42.56808673,24.52145765,32.91045562,50.68797542,9.071606387,36.22117592,1.670261322,2.348980947
12,Cerrado,Wet Season,2.5742669,1.063333333,6.146666667,1.51,48.22928865,30.92168408,20.84902727,50.9704064,8.951233511,36.08178067,1.666792367,2.329787061
12,Cerrado,Dry Season,0.963517,1.473333333,2.47,1.586666667,46.27513476,30.51266688,23.21219837,50.9704064,8.951233511,36.08178067,1.666792367,2.329787061
13,Cerrado,Dry Season,1.049630333,1.526666667,2.043333333,1.563333333,49.30385589,31.8332962,18.86284791,51.59499239,8.076777361,36.79330321,1.538099377,1.996827654
13,Cerrado,Wet Season,2.831745767,1.08,5.73,1.493333333,46.36362267,29.6358047,24.00057263,51.59499239,8.076777361,36.79330321,1.538099377,1.996827654
14,Cerrado,Dry Season,1.049630333,1.576666667,2.013333333,1.536666667,52.84205918,33.21472645,13.94321437,51.59453489,8.068515936,36.80441374,1.537588519,1.994946913
14,Cerrado,Wet Season,2.808925733,1.036666667,6.143333333,1.54,44.93925637,27.06823359,27.99251003,51.59453489,8.068515936,36.80441374,1.537588519,1.994946913
15,Cerrado,Dry Season,0.993656667,1.53,2.713333333,1.563333333,51.91235294,34.77475528,13.31289178,51.67935505,7.916056488,36.9400163,1.517288579,1.947283589
15,Cerrado,Wet Season,2.776202667,1.043333333,6.96,1.473333333,47.67777711,27.0313831,25.29083979,51.67935505,7.916056488,36.9400163,1.517288579,1.947283589
16,Cerrado,Wet Season,2.767160767,1.056666667,6.556666667,1.486666667,47.22150881,28.4505615,24.32792969,51.73049449,7.902886317,36.90677187,1.514763149,1.945084172
