Year,julian day,C1,C2,C3,B1,B2,B3,B4,E1,E2,E3,E4
2000,1,1.9,2,1.9,1.9,1.9,1.7,1.7,2,2.1,2.1,2.1
2000,9,1.8,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8
2000,17,3.4,3.4,3.4,3.7,3.7,3.4,3.4,3.2,3.4,3.3,3.3
2000,25,3.2,3.2,3.2,3.5,3.5,3.1,3.1,3.2,3.3,3.2,3.2
2000,33,4,4.1,4,4,4,3.8,3.8,3.9,4.2,3.9,3.9
2000,41,3.5,3.6,3.5,3.7,3.7,3.5,3.5,3.4,3.9,3.6,3.6
2000,49,4.1,4.2,4.1,4.2,4.2,4,4,4,4.3,4.1,4.1
2000,57,4.5,4.5,4.5,4.7,4.7,4.5,4.5,4.4,4.5,4.4,4.4
2000,65,4.8,4.8,4.8,5,5,4.8,4.8,4.8,5,4.9,4.9
2000,73,6.1,6.3,6.1,6.3,6.3,6.4,6.4,6.2,6.3,6.3,6.3
2000,81,7.8,7.8,7.8,7.7,7.7,7.8,7.8,7.8,7.4,7.5,7.5
2000,89,9.9,9.8,9.9,9.6,9.6,10.1,10.1,10,9.6,8.8,8.8
2000,97,10.8,10.6,10.8,10.5,10.5,10.7,10.7,10.7,10.6,9.4,9.4
2000,105,12.2,10.9,12.2,11.4,11.4,12.6,12.6,11.4,10.9,10.1,10.1
2000,113,11.7,11.1,11.7,11.1,11.1,11.4,11.4,11.5,11,11,11
2000,121,14.1,13.8,14.1,12.9,12.9,13.3,13.3,13,12.8,12.6,12.6
2000,129,18,16.4,18,13.6,13.6,15.5,15.5,15.1,13.3,14,14
2000,137,18.9,17.2,18.9,14.9,14.9,16.9,16.9,16.1,15.7,15.2,15.2
2000,145,20.7,18.6,20.7,19.4,19.4,21.1,21.1,18.3,17.4,16.2,16.2
2000,153,22.8,19.3,22.8,20.7,20.7,22.1,22.1,20.4,18.5,17.3,17.3
2000,161,19.3,16.9,19.3,17.8,17.8,19.6,19.6,17.5,16.1,15.4,15.4
2000,169,27.6,23,27.6,24.4,24.4,28.7,28.7,25.9,20.6,18.1,18.1
2000,177,28.8,26.5,28.8,28.6,28.6,36,36,27.1,22.1,17.3,17.3
2000,185,29,26.5,29,29.8,29.8,30.9,30.9,26.6,24.7,18.9,18.9
2000,193,34,27.4,34,31.5,31.5,30.2,30.2,27.6,30.5,17.6,17.6
2000,201,32.6,27.7,32.6,29.6,29.6,29.9,29.9,28.3,31.1,21.6,21.6
2000,209,32.1,26.4,32.1,27.3,27.3,29.7,29.7,27,30.7,18.3,18.3
2000,217,29.6,24.9,29.6,25.3,25.3,27.9,27.9,24.3,28.5,18.9,18.9
2000,225,27,21.5,27,22.8,22.8,25.3,25.3,21.1,25.2,14.7,14.7
2000,233,27.1,21.6,27.1,23.1,23.1,25.5,25.5,21.6,24.6,14.7,14.7
2000,241,21.4,16.5,21.4,19.3,19.3,19.1,19.1,17.6,19.9,12.4,12.4
2000,249,17.4,14.6,17.4,16,16,16.3,16.3,15.4,17.6,12.1,12.1
2000,257,17.3,15.5,17.3,15.9,15.9,16.8,16.8,16.2,18.7,12.6,12.6
2000,265,14,12.2,14,12.4,12.4,14.3,14.3,13.2,15.3,7.7,7.7
2000,273,9.4,7.8,9.4,8.7,8.7,9.7,9.7,8.6,8.3,7,7
2000,281,7.4,6.7,7.4,6.9,6.9,7.8,7.8,7.2,7,6.7,6.7
2000,289,5.1,4.9,5.1,4.9,4.9,5.1,5.1,5.1,5,5.1,5.1
2000,297,5.7,5.5,5.7,5.6,5.6,5.3,5.3,5.7,5.8,6,6
2000,305,3.9,3.8,3.9,3.9,3.9,3.8,3.8,3.9,4,4.1,4.1
2000,313,3.5,3.7,3.5,3.7,3.7,3.5,3.5,3.5,3.6,3.9,3.9
2000,321,3.7,4.1,3.7,4.1,4.1,3.7,3.7,3.9,3.9,4.4,4.4
2000,329,1.7,1.8,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9
2000,337,2.9,3,2.9,3,3,2.9,2.9,2.9,2.9,3,3
2000,345,2.4,2.7,2.4,2.7,2.7,2.3,2.3,2.6,2.6,3.1,3.1
2000,353,2.3,2.5,2.3,2.5,2.5,2.4,2.4,2.4,2.4,2.6,2.6
2000,361,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8
2001,369,3.2,3.4,3.2,3.4,3.4,3,3,3.1,3.2,3.3,3.3
2001,377,3.9,4.1,3.9,4,4,3.5,3.5,3.8,4,4.1,4.1
2001,385,3,3.1,3,3.2,3.2,3,3,3,3.1,3.2,3.2
2001,393,3.4,3.5,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.6,3.6
2001,401,3.5,3.6,3.5,3.6,3.6,3.4,3.4,3.5,3.6,3.7,3.7
2001,409,3.3,3.5,3.3,3.5,3.5,3.3,3.3,3.3,3.6,3.6,3.6
2001,417,4.6,4.7,4.6,4.7,4.7,4.5,4.5,4.6,4.7,4.7,4.7
2001,425,4.5,4.6,4.5,4.6,4.6,4.4,4.4,4.8,4.8,4.7,4.7
2001,433,6.2,6.3,6.2,5.9,5.9,5.7,5.7,6.3,6.2,6.2,6.2
2001,441,5.8,5.9,5.8,5.8,5.8,5.9,5.9,5.9,5.8,5.8,5.8
2001,449,7.1,7.1,7.1,7.1,7.1,7.3,7.3,7.3,7.1,6.7,6.7
2001,457,7.6,7.6,7.6,7.6,7.6,7.7,7.7,7.7,7.7,7.6,7.6
2001,465,9,8.9,9,9,9,9.1,9.1,8.8,8.6,8.4,8.4
2001,473,11.7,11.4,11.7,11.3,11.3,11.9,11.9,10.8,10.3,9.7,9.7
2001,481,13.9,13.1,13.9,12.9,12.9,14.9,14.9,14.3,14.4,12.4,12.4
2001,489,14.6,13.5,14.6,13.5,13.5,16,16,14.3,12.4,12.4,12.4
2001,497,15.5,13.7,15.5,15.8,15.8,16.9,16.9,14.9,13.3,12.3,12.3
2001,505,20.1,18.1,20.1,19.1,19.1,23.1,23.1,17.2,13.6,12.7,12.7
2001,513,18.3,17,18.3,17.3,17.3,17.3,17.3,16,13.7,12.8,12.8
2001,521,19.5,18.4,19.5,18.8,18.8,18.2,18.2,17.5,15.6,14.8,14.8
2001,529,20.7,18.9,20.7,19.8,19.8,18.3,18.3,17.6,15.5,15,15
2001,537,26.2,22.3,26.2,24.7,24.7,19.9,19.9,19.3,17.3,15,15
2001,545,29.7,24.5,29.7,27.8,27.8,25.1,25.1,23,20.1,15.9,15.9
2001,553,35.1,27.2,35.1,32.4,32.4,32.2,32.2,28.6,23.4,16,16
2001,561,28.2,22.2,28.2,25.7,25.7,26.6,26.6,23.4,20.2,16.1,16.1
2001,569,30.8,24.4,30.8,27.4,27.4,29.5,29.5,25.5,29.6,18.1,18.1
2001,577,27.2,22.3,27.2,23.9,23.9,25.9,25.9,24.5,26.2,18.7,18.7
2001,585,33.8,24,33.8,27.4,27.4,30.1,30.1,28.3,30.8,18.1,18.1
2001,593,29,21.9,29,24.8,24.8,28,28,29.2,27,15.9,15.9
2001,601,22,18.3,22,19.6,19.6,21.2,21.2,21.8,21.9,15.6,15.6
2001,609,24,20.5,24,21.2,21.2,23.3,23.3,22.7,24.7,16,16
2001,617,20.5,17,20.5,17.7,17.7,19.1,19.1,18.4,20.9,12.4,12.4
2001,625,14.6,12,14.6,12.2,12.2,13.1,13.1,13.1,15.5,10.1,10.1
2001,633,11.1,10.2,11.1,10.3,10.3,10.9,10.9,11.3,13.1,9.7,9.7
2001,641,11,9.7,11,9.9,9.9,11.3,11.3,10.2,14.6,9.3,9.3
2001,649,6.5,6.4,6.5,6.4,6.4,7,7,6.7,6.1,6.2,6.2
2001,657,5.6,5.5,5.6,5.5,5.5,6.1,6.1,6,5.6,5.7,5.7
2001,665,3.9,3.7,3.9,3.8,3.8,4.2,4.2,4.1,3.8,3.9,3.9
2001,673,3.4,3.4,3.4,3.4,3.4,3.6,3.6,3.6,3.5,3.6,3.6
2001,681,4.2,4.3,4.2,4.3,4.3,4.3,4.3,4.4,4.5,4.7,4.7
2001,689,3,3.1,3,3.1,3.1,3,3,3.2,3.5,3.8,3.8
2001,697,2.3,2.4,2.3,2.3,2.3,2.4,2.4,2.5,2.6,2.7,2.7
2001,705,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,2,2
2001,713,1.7,1.8,1.7,1.8,1.8,1.6,1.6,1.9,2.2,2.6,2.6
2001,721,3.3,3.4,3.3,3.5,3.5,3.2,3.2,3.4,3.8,4.3,4.3
2001,729,2.1,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.2,2.5,2.5
2002,737,3.6,3.4,3.6,3.4,3.4,3.1,3.1,3.3,3.7,3.3,3.3
2002,745,3.4,3.1,3.4,3.1,3.1,2.9,2.9,2.7,3.3,2.7,2.7
2002,753,2.4,2.3,2.4,2.2,2.2,2.1,2.1,2.4,2.6,2.3,2.3
2002,761,2.4,2.3,2.4,2.3,2.3,2.1,2.1,2.2,2.5,2.2,2.2
2002,769,3.4,3.5,3.4,3.4,3.4,3.3,3.3,3.5,3.8,3.6,3.6
2002,777,3.9,4.3,3.9,4.2,4.2,4,4,4.2,4.5,4.2,4.2
2002,785,3.8,4,3.8,4,4,3.9,3.9,3.8,4.2,4,4
2002,793,4.6,4.7,4.6,4.8,4.8,4.6,4.6,4.5,5,4.5,4.5
2002,801,4.9,5.1,4.9,5,5,4.9,4.9,5,5.5,4.7,4.7
2002,809,4.7,4.9,4.7,5.1,5.1,4.7,4.7,4.7,5.6,4.9,4.9
2002,817,8.3,8.5,8.3,8.5,8.5,8.4,8.4,8.4,9.4,8.6,8.6
2002,825,8.9,8.9,8.9,9.3,9.3,9.2,9.2,8.9,8.4,8.2,8.2
2002,833,9.4,9.5,9.4,9.6,9.6,9.5,9.5,9.4,9.3,9.1,9.1
2002,841,10.6,10.8,10.6,11,11,11,11,10.2,10.1,10.3,10.3
2002,849,10.6,10.6,10.6,11,11,11.3,11.3,10.2,9.2,10.7,10.7
2002,857,11.3,11.2,11.3,11.4,11.4,11.1,11.1,10.2,10.5,10.7,10.7
2002,865,15.4,14.4,15.4,15.1,15.1,15.1,15.1,16.1,12.3,13.2,13.2
2002,873,18.2,16.4,18.2,15.7,15.7,20.1,20.1,16.8,13.7,14.3,14.3
2002,881,21.7,20.3,21.7,18.6,18.6,24.5,24.5,19.8,17,17.8,17.8
2002,889,20.4,19.5,20.4,20.5,20.5,24.1,24.1,19.3,14.5,16.2,16.2
2002,897,25.5,24.2,25.5,25.9,25.9,29.6,29.6,23.7,15.6,19.2,19.2
2002,905,25.8,25.3,25.8,26.1,26.1,28.9,28.9,23.8,17.2,18.8,18.8
2002,913,28.2,24.9,28.2,24.1,24.1,26.7,26.7,23.7,22.1,18.7,18.7
2002,921,26.6,24.4,26.6,24.7,24.7,27.9,27.9,26.3,27.8,17.8,17.8
2002,929,26.7,26.2,26.7,27.1,27.1,29.5,29.5,28.1,30.8,20,20
2002,937,28,27.6,28,31.5,31.5,31.8,31.8,29.8,34.4,17.3,17.3
2002,945,22.4,21.1,22.4,22.4,22.4,24.1,24.1,22.6,26.1,14.8,14.8
2002,953,25.8,23.3,25.8,23.2,23.2,27,27,25.9,29.3,15.8,15.8
2002,961,27.2,22.1,27.2,22.7,22.7,27.2,27.2,25.9,29.6,11.2,11.2
2002,969,26.1,21.3,26.1,23.1,23.1,26.2,26.2,26.2,28.2,13.1,13.1
2002,977,22.2,18.3,22.2,18.1,18.1,19.1,19.1,21.3,21.1,12.4,12.4
2002,985,17.6,17,17.6,16.2,16.2,17.8,17.8,18.8,17,12.5,12.5
2002,993,14.1,13.4,14.1,13.4,13.4,14,14,14.6,13.4,11.2,11.2
2002,1001,14.6,12.9,14.6,13.4,13.4,14.3,14.3,14.4,12.6,10.1,10.1
2002,1009,8.4,7.6,8.4,8,8,8.2,8.2,8.3,6.7,7,7
2002,1017,7,6.6,7,6.7,6.7,7.5,7.5,7,6,6,6
2002,1025,7.1,6.6,7.1,6.6,6.6,7.3,7.3,7.1,6.3,6.1,6.1
2002,1033,4.4,4.1,4.4,4.2,4.2,4.3,4.3,4.4,4.1,4.7,4.7
2002,1041,4.4,4.3,4.4,4.3,4.3,4.4,4.4,4.4,4.8,4.6,4.6
2002,1049,2.8,2.8,2.8,2.7,2.7,2.8,2.8,3,3,2.8,2.8
2002,1057,3.7,3.8,3.7,4,4,3.8,3.8,3.7,3.9,3.7,3.7
2002,1065,4.2,4.5,4.2,5,5,4.4,4.4,4.1,4.7,4,4
