Date,Precip ,Qf,Qd,Baseflow_f,Baseflow_p,DOC_f,CI_DOC_f,DOC_d,CI_DOC_d,C1_f,CI_C1_f,C1_d,CI_C1_d,C2_f,CI_C2_f,C2_d,CI_C2_d,C3_f,CI_C3_f,C3_d,CI_C3_d,FI_f,CI_FI_f,FI_d,CI_FI_d,SR_f,CI_SR_f,SR_d,CI_SR_d,HIX_f,CI_HIX_f,HIX_d,CI_HIX_d,BIX_f,CI_BIX_f,BIX_d,CI_BIX_d,pH_f,CI_pH_f,pH_d,CI_pH_d,Eh_f,CI_Eh_f,Eh_d,CI_Eh_d,Tw_f,CI_Tw_f,Tw_d,CI_Tw_d
15-May-16,0,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-May-16,0,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-May-16,0,0.668396429,1.451389069,0.631138979,1.142636505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-May-16,0.01,0.640183106,1.151253183,0.619435745,1.121748945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-May-16,0,0.620326379,1.142527217,0.608876363,1.105814415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-May-16,0,0.613923771,1.12333604,0.601711378,1.086920684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-May-16,0,0.608430618,1.090158212,0.596671788,1.075346932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-May-16,0,0.60209681,1.090410004,0.589496925,1.066958352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-May-16,0,0.592281373,1.079504229,0.582124654,1.053961608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24-May-16,0,0.583433061,1.062451142,0.577677699,1.043874871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
