Date,Site,T,P,CH4_atm,CO2_atm,CH4_w,CO2_w,epCO2,epCH4,Hsvol,Wvol,Ws,KhCO2,KhCH4,FCO2,FCH4
2016-06-08,1,287.5,1002.02,2.79,415.49,29475.72,1471.22,3.54,10580.64,0.03,0.03,2.01,0.0465,0.0017,0.89,919.63
2016-06-08,2,287.5,1002.02,2.75,495.6,88870.41,5139.49,10.37,32356.76,0.03,0.03,2.01,0.0465,0.0017,3.9,2772.91
2016-06-08,3,287.5,1002.02,2.88,434.99,9349,5159.66,11.86,3241.78,0.03,0.03,2.01,0.0465,0.0017,3.97,291.62
2016-06-08,4,287.5,1002.02,2.6,456.57,11794.85,5017.88,10.99,4537.45,0.03,0.03,2.01,0.0465,0.0017,3.83,367.95
2016-06-08,5,287.5,1002.02,2.62,424.21,12919.24,5421.96,12.78,4932.78,0.03,0.03,2.01,0.0465,0.0017,4.2,403.03
2016-06-27,1,293.23,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-27,2,293.23,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-27,3,293.23,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-27,4,293.23,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-27,5,293.23,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-21,1,292.77,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-21,2,292.77,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-21,3,292.77,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-21,4,292.77,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-21,5,292.77,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-18,1,294.02,1011.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-18,2,294.02,1011.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-18,3,294.02,1011.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-18,4,294.02,1011.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-18,5,294.02,1011.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-24,1,292.85,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-24,2,292.85,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-24,3,292.85,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-24,4,292.85,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-24,5,292.85,1005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-08,1,288.02,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-08,2,288.02,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-08,3,288.02,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-08,4,288.02,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-08,5,288.02,1004.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-22,1,285.37,1011.36,3.39,426.5,11813.52,12967.37,30.4,3480.78,0.03,0.03,0.77,0.0498,0.0018,7.28,250.34
2016-09-22,2,285.37,1011.36,3.51,420.01,52023.08,19419.09,46.23,14808.67,0.03,0.03,0.77,0.0498,0.0018,11.03,1102.66
2016-09-22,3,285.37,1011.36,3.62,423.55,10261.75,17264.28,40.76,2833.03,0.03,0.03,0.77,0.0498,0.0018,9.78,217.44
2016-09-22,4,285.37,1011.36,3.48,425.9,330.84,3465.62,8.14,94.98,0.03,0.03,0.77,0.0498,0.0018,1.77,6.94
2016-09-22,5,285.37,1011.36,3.45,421.32,327.2,1399.34,3.32,94.74,0.03,0.03,0.77,0.0498,0.0018,0.57,6.86
2016-10-28,1,286.02,1009.31,3.4,437.78,1238.82,5480.1,12.52,363.87,0.03,0.03,2.04,0.0488,0.0018,3.61,32.46
2016-10-28,2,286.02,1009.31,3.41,560.4,460.8,6687.85,11.93,134.95,0.03,0.03,2.04,0.0488,0.0018,4.39,12.02
2016-10-28,3,286.02,1009.31,3.59,381.32,968.23,8281.55,21.72,269.5,0.03,0.03,2.04,0.0488,0.0018,5.66,25.34
2016-10-28,4,286.02,1009.31,3.43,407.86,46.25,2949.83,7.23,13.47,0.03,0.03,2.04,0.0488,0.0018,1.82,1.12
2016-10-28,5,286.02,1009.31,3.4,408.71,878.27,3224.21,7.89,257.97,0.03,0.03,2.04,0.0488,0.0018,2.02,22.98
