,date,co2_1,ctd1_depth,gs3_1_temp,gs3_1_ec,q.salt,v.salt,k,k600,flux,ph
1,2016-11-05 1:00,1623.3,195.4806,10.3,NA,170.5528318,0.21062253,70.8272481,101.5129171,54.02457403,6.70544892
2,2016-11-05 1:30,1637.567,195.6694,10.3,NA,168.8793269,0.20931753,69.83856369,99.96196934,53.90573975,6.70752792
3,2016-11-05 2:00,1632.115,194.275,10.3,NA,167.7168807,0.20840754,69.15994031,98.8986217,53.14152121,6.70839732
4,2016-11-05 2:30,1608.155,194.7722,10.3,NA,165.9356665,0.2070075,68.13285839,97.29116,51.31146122,6.70936932
5,2016-11-05 3:00,1602.563,194.2556,10.30417,NA,165.0294368,0.20629254,67.61617769,96.48338514,50.67494764,6.71244948
6,2016-11-05 3:30,1637.893,193.7694,10.3775,NA,163.9865364,0.20546751,67.02642241,95.56208443,51.62945615,6.7146948
7,2016-11-05 4:00,1596.932,193.6889,10.4,NA,162.6950957,0.2044425,66.30324258,94.4334053,49.31163693,6.71596056
8,2016-11-05 4:30,1611.2,193.6111,10.4,NA,161.4647576,0.20346249,65.6215379,93.37052991,49.39983431,6.71752656
9,2016-11-05 5:00,1593.282,192.6083,10.4,NA,160.2355819,0.20247996,64.94747643,92.3206048,48.1526159,6.7173408
10,2016-11-05 5:30,1609.623,191.8,10.4,NA,158.6315029,0.20119251,64.0782264,90.96818471,48.17379219,6.7191228
11,2016-11-05 6:00,1610.99,191.2694,10.4,NA,157.9701822,0.20065998,63.72325271,90.41640086,47.96230004,6.72349896
12,2016-11-05 6:30,1616.31,190.7917,10.4,NA,156.444545,0.19942752,62.91182721,89.15619344,47.56433189,6.72634152
13,2016-11-05 7:00,1571.847,190.9194,10.4,NA,155.4824919,0.19864749,62.40547002,88.37056382,45.41759573,6.72661368
14,2016-11-05 7:30,1572.111,189.8139,10.4,NA,154.8211822,0.19811001,62.05976858,87.83454513,45.17641556,6.72845724
15,2016-11-05 8:00,1609.981,190.3528,10.4,NA,154.8611206,0.1981425,62.08059206,87.86682442,46.6861059,6.72851124
16,2016-11-05 8:30,1618.213,190.3445,10.4,NA,154.7566933,0.19805754,62.02615951,87.78244856,46.96976067,6.72434244
17,2016-11-05 9:00,1612.078,190.7528,10.4,NA,156.3766332,0.19937253,62.87594881,89.10050705,47.36805135,6.72352704
18,2016-11-05 9:30,1592.552,192.7805,10.4,NA,160.735534,0.20288001,65.22080321,92.74621693,48.32499615,6.7221414
19,2016-11-05 10:00,1605.349,195.5528,10.4,NA,166.3102789,0.20730252,68.34759273,97.62704602,51.1977873,6.72138756
20,2016-11-05 10:30,1426.735,198.1778,10.4,NA,176.0686606,0.2148825,74.18609611,106.7971966,47.14780144,6.72360372
21,2016-11-05 11:00,1545.839,202.2111,10.4,NA,186.3240496,0.22264248,80.86022253,117.364122,57.51174697,6.71469696
22,2016-11-05 11:30,1554.565,204.8278,10.4,13.06667,196.4692754,0.23012751,88.0532648,128.8459279,63.11623452,6.71077224
23,2016-11-05 12:00,1547.384,208.8056,10.4,12.95,206.9112979,0.23764755,96.12552627,141.8377702,68.46358867,6.7030686
24,2016-11-05 12:30,1556.183,212.4833,10.4,12.85,218.4334351,0.24574503,105.8942395,157.6989133,76.01349443,6.69881124
25,2016-11-05 13:00,1590.046,218.2972,10.4,12.53889,232.9515545,0.25567248,119.6287333,180.2336927,88.4476763,NA
26,2016-11-05 13:30,1610.781,226.7083,10.4,12.49167,254.5959765,0.26995746,143.4815137,219.9462028,107.9745359,6.66914796
